AtliQ Reports,,,,
,,,,
Sorefoz," $5,50,457.97 "," $10,73,719.84 "," $46,55,996.00 ",433.6%
Sound," $5,59,826.12 "," $16,73,339.61 "," $43,55,023.83 ",260.3%
Staples," $12,44,018.82 "," $28,51,347.40 "," $87,52,286.70 ",307.0%
Surface Stores," $91,227.20 "," $5,31,219.65 "," $21,18,516.99 ",398.8%
Synthetic," $18,93,824.51 "," $44,15,642.73 "," $1,21,86,268.62 ",276.0%
Taobao," $2,22,638.47 "," $13,25,489.44 "," $32,95,972.50 ",248.7%
UniEuro," $5,98,527.32 "," $16,08,113.42 "," $73,49,581.11 ",457.0%
Vijay Sales," $17,30,790.48 "," $21,45,221.92 "," $85,33,368.98 ",397.8%
Viveks," $15,53,625.99 "," $22,35,120.40 "," $77,80,406.06 ",348.1%
walmart," $12,58,182.06 "," $26,25,411.79 "," $97,25,785.20 ",370.4%
Zone," $3,40,189.93 "," $15,64,958.26 "," $52,61,424.08 ",336.2%
Grand Total," $8,74,78,258.35 "," $19,66,90,953.08 "," $59,88,77,095.27 ",304.5%
